route,origin,destination,horizon,departure_date,carrier,flight_number,departure_time,arrival_time,duration,search_fare,audited_base_fare,audited_taxes,audited_grand_total,selected_seat_number,selected_seat_raw_id,seat_selection_fee,final_payment_total,payment_gateway_url,screenshot_search,screenshot_review,screenshot_seat_map,screenshot_payment,captured_at
BOM-DEL,BOM,DEL,T+1,2026-08-31,IndiGo,6E-5095,09:20,11:40,02h 20m,6115,4701,1863,6564,21E,NMI_HDO21E,350,6949,https://flight.easemytrip.com/Review/CheckOut?CSU=&SearchID=iuotcjtnr2&ft=7&Ift=7&bc=&ISWL=&curr=&CCODE=IN&apptype=B2C&utm_campaign=&utm_source=&utm_medium=&utm_term=&adgroupid=&gad_source=&gclid=&customerhash=&NS=,BOM-DEL\T+1\search_results.png,BOM-DEL\T+1\01_IndiGo_6E5095\01_checkout_review.png,BOM-DEL\T+1\01_IndiGo_6E5095\02_aircraft_seat_map.png,BOM-DEL\T+1\01_IndiGo_6E5095\03_final_payment_gateway.png,2026-08-30T20:26:01.574271
BOM-DEL,BOM,DEL,T+1,2026-08-31,Air India Express,IX-1389,22:20,00:40,02h 20m,6561,4988,2022,7010,26E,NMI_DEL26E,0,7010,https://flight.easemytrip.com/Review/CheckOut?CSU=&SearchID=gct9yo4f4o9&ft=22&Ift=22&bc=&ISWL=&curr=&CCODE=IN&apptype=B2C&utm_campaign=&utm_source=&utm_medium=&utm_term=&adgroupid=&gad_source=&gclid=&customerhash=&NS=,BOM-DEL\T+1\search_results.png,BOM-DEL\T+1\04_AirIndiaExpress_IX1389\01_checkout_review.png,BOM-DEL\T+1\04_AirIndiaExpress_IX1389\02_aircraft_seat_map.png,BOM-DEL\T+1\04_AirIndiaExpress_IX1389\03_final_payment_gateway.png,2026-08-30T20:27:57.355776
BOM-DEL,BOM,DEL,T+1,2026-08-31,AkasaAir,QP-2071,06:05,08:25,02h 20m,6500,5530,1419,6949,32B,NMI_DEL32B,0,6949,https://flight.easemytrip.com/Review/CheckOut?CSU=&SearchID=27owadvo187&ft=7&Ift=7&bc=&ISWL=&curr=&CCODE=IN&apptype=B2C&utm_campaign=&utm_source=&utm_medium=&utm_term=&adgroupid=&gad_source=&gclid=&customerhash=&NS=,BOM-DEL\T+1\search_results.png,BOM-DEL\T+1\03_AkasaAir_QP2071\01_checkout_review.png,BOM-DEL\T+1\03_AkasaAir_QP2071\02_aircraft_seat_map.png,BOM-DEL\T+1\03_AkasaAir_QP2071\03_final_payment_gateway.png,2026-08-30T20:27:18.971984
BOM-DEL,BOM,DEL,T+1,2026-08-31,SpiceJet,SG- 801,23:55,02:15,02h 20m,6393,5349,1572,6921,12E,BOM_DEL12E,0,6921,https://flight.easemytrip.com/Review/CheckOut?CSU=&SearchID=3lukuxuhlrr&ft=14&Ift=14&bc=&ISWL=&curr=&CCODE=IN&apptype=B2C&utm_campaign=&utm_source=&utm_medium=&utm_term=&adgroupid=&gad_source=&gclid=&customerhash=&NS=,BOM-DEL\T+1\search_results.png,BOM-DEL\T+1\02_SpiceJet_SG801\01_checkout_review.png,BOM-DEL\T+1\02_SpiceJet_SG801\02_aircraft_seat_map.png,BOM-DEL\T+1\02_SpiceJet_SG801\03_final_payment_gateway.png,2026-08-30T20:26:41.634515
